com.samsung.shealth.stress,6086003,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2020-01-30 12:01:01.278,UTC+0000,5.0,,2020-01-30 12:01:01.278,Jfw01OFXaN,2020-01-30 12:01:01.278,5.0,com.sec.android.app.shealth,2020-01-30 12:01:01.278,5.0,,60987c24-e103-f8ee-d5d8-e1266c366fd0,10000,,1
2020-02-01 13:12:20.585,UTC+0000,1.0,,2020-02-01 13:12:20.585,Jfw01OFXaN,2020-02-01 13:12:20.585,1.0,com.sec.android.app.shealth,2020-02-01 13:12:20.585,1.0,,02647612-afeb-2077-2675-d3e2e3248712,10000,,1
2020-02-11 10:01:09.365,UTC+0000,100.0,,2020-02-11 10:01:09.365,Jfw01OFXaN,2020-02-11 10:01:09.365,100.0,com.sec.android.app.shealth,2020-02-11 10:01:09.365,100.0,,d8732d2e-df7c-a8e2-8436-3b3aa02dfeee,10000,,1
2020-02-11 10:02:41.015,UTC+0000,99.0,,2020-02-11 10:02:41.015,Jfw01OFXaN,2020-02-11 10:02:41.015,99.0,com.sec.android.app.shealth,2020-02-11 10:02:41.015,99.0,,59dc49f1-2b73-a30d-cb86-53ca720ee99c,10000,,1
2020-02-14 11:01:57.358,UTC+0000,4.0,,2020-02-14 11:01:57.358,Jfw01OFXaN,2020-02-14 11:01:57.358,4.0,com.sec.android.app.shealth,2020-02-14 11:01:57.358,4.0,,55e43bd9-3ecf-ef97-f251-67d2ed1ffb77,10000,,1
2020-02-25 14:14:38.699,UTC+0000,0.0,,2020-02-25 14:14:38.699,Jfw01OFXaN,2020-02-25 14:14:38.699,0.0,com.sec.android.app.shealth,2020-02-25 14:14:38.699,0.0,,5893efde-60cd-b7cc-3233-d763ed26d0fd,10000,,1
2020-02-25 14:15:14.912,UTC+0000,15.0,,2020-02-25 14:15:14.912,Jfw01OFXaN,2020-02-25 14:15:14.912,15.0,com.sec.android.app.shealth,2020-02-25 14:15:14.912,15.0,,27b44732-c95d-0bd5-3999-3d1c2082068a,10000,,1
2020-02-25 15:02:44.409,UTC+0000,18.0,,2020-02-25 14:59:59.999,Jfw01OFXaN,2020-02-25 14:00:00.000,2.0,com.sec.android.app.shealth,2020-02-25 15:02:44.409,0.0,06a79b43-8fcc-4815-c451-a5c9d15009e6.binning_data.json,06a79b43-8fcc-4815-c451-a5c9d15009e6,10011,,1
2020-02-25 16:03:07.737,UTC+0000,9.0,,2020-02-25 15:59:59.999,Jfw01OFXaN,2020-02-25 15:00:00.000,1.0,com.sec.android.app.shealth,2020-02-25 16:03:07.737,0.0,20570b40-31e8-b6c7-e5b5-2346be30aa01.binning_data.json,20570b40-31e8-b6c7-e5b5-2346be30aa01,10011,,1
2020-02-25 16:10:11.187,UTC+0000,65.0,,2020-02-25 16:59:59.999,Jfw01OFXaN,2020-02-25 16:00:00.000,5.0,com.sec.android.app.shealth,2020-02-25 17:09:05.556,0.0,04fc5b49-a614-028a-017b-60122c4937b6.binning_data.json,04fc5b49-a614-028a-017b-60122c4937b6,10011,,1
2020-02-25 18:04:54.656,UTC+0000,92.0,,2020-02-25 17:59:59.999,Jfw01OFXaN,2020-02-25 17:00:00.000,12.0,com.sec.android.app.shealth,2020-02-25 18:04:54.656,0.0,3e1183cb-7bc1-3c2f-7551-bd413fcfbaa8.binning_data.json,3e1183cb-7bc1-3c2f-7551-bd413fcfbaa8,10011,,1
2020-02-25 19:04:50.380,UTC+0000,99.0,,2020-02-25 18:59:59.999,Jfw01OFXaN,2020-02-25 18:00:00.000,18.0,com.sec.android.app.shealth,2020-02-25 19:04:50.380,0.0,5c077a89-784c-6751-fc16-55d47855e270.binning_data.json,5c077a89-784c-6751-fc16-55d47855e270,10011,,1
2020-02-25 20:01:14.650,UTC+0000,100.0,,2020-02-25 19:59:59.999,Jfw01OFXaN,2020-02-25 19:00:00.000,33.0,com.sec.android.app.shealth,2020-02-25 20:01:14.650,0.0,004f2936-96b3-4d9e-aa61-dfc2deab712c.binning_data.json,004f2936-96b3-4d9e-aa61-dfc2deab712c,10011,,1
2020-02-25 21:07:04.402,UTC+0000,88.0,,2020-02-25 20:59:59.999,Jfw01OFXaN,2020-02-25 20:00:00.000,35.0,com.sec.android.app.shealth,2020-02-25 21:07:04.402,10.0,12bde8b5-700f-636c-7561-9d268757a437.binning_data.json,12bde8b5-700f-636c-7561-9d268757a437,10011,,1
2020-02-25 22:02:51.690,UTC+0000,97.0,,2020-02-25 21:59:59.999,Jfw01OFXaN,2020-02-25 21:00:00.000,18.0,com.sec.android.app.shealth,2020-02-25 22:02:51.690,0.0,fb7e12e4-8746-60c6-7f38-f9c618b0c5eb.binning_data.json,fb7e12e4-8746-60c6-7f38-f9c618b0c5eb,10011,,1
2020-02-25 23:03:00.684,UTC+0000,78.0,,2020-02-25 22:59:59.999,Jfw01OFXaN,2020-02-25 22:00:00.000,9.0,com.sec.android.app.shealth,2020-02-25 23:03:00.684,0.0,5a44ee84-8500-7044-1b02-891233489aad.binning_data.json,5a44ee84-8500-7044-1b02-891233489aad,10011,,1
2020-02-26 00:03:02.763,UTC+0000,2.0,,2020-02-25 23:59:59.999,Jfw01OFXaN,2020-02-25 23:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 00:03:02.763,0.0,36dfe0f8-cef8-64a8-3dcc-e833827ea39b.binning_data.json,36dfe0f8-cef8-64a8-3dcc-e833827ea39b,10011,,1
2020-02-26 04:01:29.446,UTC+0000,0.0,,2020-02-26 03:59:59.999,Jfw01OFXaN,2020-02-26 03:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 04:01:29.446,0.0,fd951a94-9594-aa8d-bbb6-2026283ff885.binning_data.json,fd951a94-9594-aa8d-bbb6-2026283ff885,10011,,1
2020-02-26 05:01:30.477,UTC+0000,0.0,,2020-02-26 04:59:59.999,Jfw01OFXaN,2020-02-26 04:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 05:01:30.477,0.0,bc856726-48b1-8258-fdfb-cb6f82d671e9.binning_data.json,bc856726-48b1-8258-fdfb-cb6f82d671e9,10011,,1
2020-02-26 08:31:59.352,UTC+0000,7.0,,2020-02-26 05:59:59.999,Jfw01OFXaN,2020-02-26 05:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 08:31:59.352,0.0,eaff4cdf-7f19-f04c-4001-e99338b30b61.binning_data.json,eaff4cdf-7f19-f04c-4001-e99338b30b61,10011,,1
2020-02-26 09:06:56.562,UTC+0000,32.0,,2020-02-26 08:59:59.999,Jfw01OFXaN,2020-02-26 08:00:00.000,1.0,com.sec.android.app.shealth,2020-02-26 09:06:56.562,0.0,82683ab8-72e2-40ff-874e-6ec2ed2628ae.binning_data.json,82683ab8-72e2-40ff-874e-6ec2ed2628ae,10011,,1
2020-02-26 10:04:11.434,UTC+0000,66.0,,2020-02-26 09:59:59.999,Jfw01OFXaN,2020-02-26 09:00:00.000,9.0,com.sec.android.app.shealth,2020-02-26 10:04:11.434,0.0,f47d4107-de75-df11-2719-bec2301257b8.binning_data.json,f47d4107-de75-df11-2719-bec2301257b8,10011,,1
2020-02-26 12:18:07.331,UTC+0000,7.0,,2020-02-26 10:59:59.999,Jfw01OFXaN,2020-02-26 10:00:00.000,7.0,com.sec.android.app.shealth,2020-02-26 12:18:07.331,7.0,6e81956f-0bdb-a3b7-e705-6bbf220c5ca3.binning_data.json,6e81956f-0bdb-a3b7-e705-6bbf220c5ca3,10011,,1
2020-02-26 13:08:34.615,UTC+0000,100.0,,2020-02-26 12:59:59.999,Jfw01OFXaN,2020-02-26 12:00:00.000,33.0,com.sec.android.app.shealth,2020-02-26 13:08:34.615,1.0,2ab2f109-2ebe-ecf4-f51f-8a8794f3f77a.binning_data.json,2ab2f109-2ebe-ecf4-f51f-8a8794f3f77a,10011,,1
2020-02-26 14:01:51.340,UTC+0000,95.0,,2020-02-26 13:59:59.999,Jfw01OFXaN,2020-02-26 13:00:00.000,36.0,com.sec.android.app.shealth,2020-02-26 14:01:51.340,1.0,e8406445-5a3d-b3ac-5ebc-deb2171c66b7.binning_data.json,e8406445-5a3d-b3ac-5ebc-deb2171c66b7,10011,,1
2020-02-26 15:09:07.387,UTC+0000,100.0,,2020-02-26 14:59:59.999,Jfw01OFXaN,2020-02-26 14:00:00.000,51.0,com.sec.android.app.shealth,2020-02-26 15:09:07.387,0.0,f9c930a2-a09f-c168-9b6b-2d0d85fb2a5f.binning_data.json,f9c930a2-a09f-c168-9b6b-2d0d85fb2a5f,10011,,1
2020-02-26 16:03:40.441,UTC+0000,100.0,,2020-02-26 15:59:59.999,Jfw01OFXaN,2020-02-26 15:00:00.000,57.0,com.sec.android.app.shealth,2020-02-26 16:03:40.441,0.0,14bfd540-1c38-df0f-f108-91ceff6bb496.binning_data.json,14bfd540-1c38-df0f-f108-91ceff6bb496,10011,,1
2020-02-26 17:04:32.572,UTC+0000,100.0,,2020-02-26 16:59:59.999,Jfw01OFXaN,2020-02-26 16:00:00.000,83.0,com.sec.android.app.shealth,2020-02-26 17:04:32.572,2.0,6862751d-d813-40cc-d800-cba47d0f6e50.binning_data.json,6862751d-d813-40cc-d800-cba47d0f6e50,10011,,1
2020-02-26 18:01:34.424,UTC+0000,100.0,,2020-02-26 17:59:59.999,Jfw01OFXaN,2020-02-26 17:00:00.000,33.0,com.sec.android.app.shealth,2020-02-26 18:01:34.424,0.0,da0fe2c3-4c4c-6cc5-1f05-f6b6bf151378.binning_data.json,da0fe2c3-4c4c-6cc5-1f05-f6b6bf151378,10011,,1
2020-02-26 19:03:01.412,UTC+0000,88.0,,2020-02-26 18:59:59.999,Jfw01OFXaN,2020-02-26 18:00:00.000,16.0,com.sec.android.app.shealth,2020-02-26 19:03:01.412,1.0,2f6d6d35-9ae0-35ca-39b3-c681c65b7b1f.binning_data.json,2f6d6d35-9ae0-35ca-39b3-c681c65b7b1f,10011,,1
2020-02-26 20:01:05.693,UTC+0000,98.0,,2020-02-26 19:59:59.999,Jfw01OFXaN,2020-02-26 19:00:00.000,49.0,com.sec.android.app.shealth,2020-02-26 20:01:05.693,1.0,fd3c558e-02ef-28b2-d1ef-6a0765353e42.binning_data.json,fd3c558e-02ef-28b2-d1ef-6a0765353e42,10011,,1
2020-02-26 21:09:53.588,UTC+0000,100.0,,2020-02-26 20:59:59.999,Jfw01OFXaN,2020-02-26 20:00:00.000,10.0,com.sec.android.app.shealth,2020-02-26 21:09:53.588,0.0,2e40c9ab-51a7-c305-d5eb-180fc0782ec0.binning_data.json,2e40c9ab-51a7-c305-d5eb-180fc0782ec0,10011,,1
2020-02-26 21:56:01.903,UTC+0000,1.0,,2020-02-26 21:56:01.899,Jfw01OFXaN,2020-02-26 21:00:00.000,0.0,com.sec.android.app.shealth,2020-02-26 21:56:01.903,0.0,5f2bfbc4-55ba-9915-8cc7-e6239b1e1b9f.binning_data.json,5f2bfbc4-55ba-9915-8cc7-e6239b1e1b9f,10011,,1
